nivel_entidad,codigo_entidad_en_secop
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
Nacional,703923706
TERRITORIAL,205001222
NACIONAL,115001006
Nacional,704695428
NACIONAL,115001006
TERRITORIAL,201101052
TERRITORIAL,205001222
TERRITORIAL,205001222
NACIONAL,125002000
TERRITORIAL,205001222
TERRITORIAL,201101052
TERRITORIAL,205001186
TERRITORIAL,205001222
NACIONAL,115001006
NACIONAL,115001006
Nacional,702191560
Nacional,700037070
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
TERRITORIAL,205001222
Territorial,702271321
Nacional,704160282
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
Nacional,705102895
Territorial,705069607
NACIONAL,115001006
NACIONAL,115001006
TERRITORIAL,205001222
TERRITORIAL,205001222
NACIONAL,115001006
NACIONAL,115001006
Territorial,700367014
Territorial,702091182
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
TERRITORIAL,205001222
TERRITORIAL,205001222
Territorial,702948654
Nacional,700066053
NACIONAL,115001006
Nacional,700296015
NACIONAL,115001006
TERRITORIAL,205001222
TERRITORIAL,205001222
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
Territorial,702730482
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
TERRITORIAL,205001222
NACIONAL,115001006
TERRITORIAL,205001222
NACIONAL,115001006
NACIONAL,115001006
TERRITORIAL,205001222
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
TERRITORIAL,205001222
NACIONAL,115001006
TERRITORIAL,205001222
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
TERRITORIAL,205001222
Territorial,700859218
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
